id,x,y,ux,uy,fintx,finty,bcx,bcy
1166,0.0226308,0.30440899999999999,0.012684490729022729,0.22520943664776155,5.7592819402429996e-16,9.6342205047061924e-16,0,0
1167,0.0226308,0.27226600000000001,0.01491725054682868,0.22900448419710631,1.6357900277375048e-16,3.516284485804988e-15,0,0
1168,0.045261599999999999,0.28381899999999999,0.027623175399438666,0.22459604718629436,-1.1720225484568303e-16,2.1250362580715887e-15,0,0
1169,0.0226308,0.240124,0.017870416428909498,0.23436583748288306,6.6261015771451603e-16,4.7071721520630661e-15,0,0
1170,0.067892400000000006,0.26322800000000002,0.044687005063208933,0.22189485407010756,-2.7893811392620815e-16,2.5951463200613034e-15,0,0
1171,0.022613600000000001,0.44433600000000001,0.007693816023139689,0.22277745718508826,1.2490009027033011e-16,-1.4234761373105309e-15,0,0
1172,0.022613600000000001,0.47647899999999999,0.0070798765944537368,0.2245716087314813,5.1696114836824458e-17,-8.9967096272847158e-16,0,0
1173,0.022613600000000001,0.41219299999999998,0.0084431187496817241,0.22169149615827083,2.3607147053156252e-16,-1.7416623698807143e-15,0,0
1174,0.045227200000000002,0.43510100000000002,0.015671831130466492,0.22144450838890112,1.1478990501190278e-16,-1.6237011735142914e-15,0,0
1175,0.067840700000000004,0.458009,0.02197877891996676,0.22142438609063766,-5.49148400363908e-17,-1.1796119636642288e-15,0,0
1176,0.371639,0.47764400000000001,0.08945481582871849,0.19236419870673421,-6.1420053071303826e-17,-5.4296844798074062e-16,0,0
1177,0.35178999999999999,0.44630300000000001,0.090118547219156853,0.18765132967834663,-3.6841189821057441e-16,-4.163336342344337e-17,0,0
1178,0.38279999999999997,0.45699499999999998,0.093453147910633999,0.18637890863520859,-1.9591533256813065e-16,-3.434752482434078e-16,0,0
1179,0.45432,0.97853000000000001,0.079711614458120916,0.29542157850412815,3.5094269070640172e-17,-4.6837533851373792e-16,0,0
1180,0.48557,0.97853000000000001,0.084398333767750938,0.29534174631911397,-6.8257303021540539e-17,1.6653345369377348e-16,0,0
1181,0.42307,0.97853000000000001,0.074912242689503986,0.29550499972161814,9.3783487919996134e-17,2.9837243786801082e-16,0,0
1182,0.43988899999999997,0.95706000000000002,0.077610887079646293,0.29091624076538014,1.1117815652481045e-16,-7.8062556418956319e-17,0,0
1183,0.45670899999999998,0.93559000000000003,0.080335777149631915,0.28624011019390572,-4.9344751375246521e-17,2.3592239273284576e-16,0,0
1184,0.97839900000000002,0.42398000000000002,0.14848688818790015,0.14490730496237453,-1.9775847626135601e-16,-5.9549804323766331e-17,0,0
1185,0.97839900000000002,0.45523000000000002,0.1483852260177829,0.15437136628412684,4.2211039893470803e-17,-1.1102230246251565e-16,0,0
1186,0.95679899999999996,0.44170999999999999,0.14685386011518731,0.15040984250315292,-9.0595255906530947e-17,-1.8041124150158794e-16,0,0
1187,0.97839900000000002,0.48648000000000002,0.14828986336646538,0.16366365968424321,-1.1135571580637863e-16,1.2050907147176382e-16,0,0
1188,0.93519799999999997,0.45944000000000002,0.14510960209932192,0.15592023242622338,7.0745885820573673e-17,6.1799523831673753e-17,0,0
1189,0.60185900000000003,0.41704200000000002,0.12109541340390462,0.15527443831588661,7.1503133275419017e-17,-1.2836953722228372e-16,0,0
1190,0.63557300000000005,0.42782900000000001,0.12312749300938777,0.15625237277538639,-2.4085551261765481e-16,-2.2204460492503131e-16,0,0
1191,0.61232500000000001,0.43943100000000002,0.12037853794701987,0.16112106706171708,-1.6501557065229377e-16,6.2450045135165055e-17,0,0
1192,0.68094100000000002,0.71453299999999997,0.1150279827415845,0.23111769287191369,-2.587177434093535e-17,-6.9388939039072284e-18,0,0
1193,0.65175399999999994,0.70980500000000002,0.11167340673175634,0.23072507861265193,3.0574501264091225e-17,-1.2663481374630692e-16,0,0
1194,0.63582099999999997,0.72398700000000005,0.10930762129685713,0.23465548034451272,-1.917682592583736e-16,6.9388939039072284e-18,0,0
1195,0.62256699999999998,0.70507699999999995,0.10825755682795084,0.23041689922899802,1.1928934402771763e-16,1.3877787807814457e-16,0,0
1196,0.64907499999999996,0.74289799999999995,0.11042193387901582,0.23893008290220868,-1.9334035240847758e-16,-5.8980598183211441e-17,0,0
1197,0.0405335,0.22400300000000001,0.034571153394118002,0.23380691749025082,-6.979009384289192e-16,5.773159728050814e-15,0,0
1198,0.058436200000000001,0.20788200000000001,0.05335582755238439,0.23075493696267371,1.4370557695209119e-15,1.0253083104760918e-14,0,0
1199,0.063164300000000007,0.23555499999999999,0.048445283670124205,0.22581006896079461,1.347663300399482e-16,4.4842601854000463e-15,0,0
1200,0.98132299999999995,0.798647,0.14792762933076109,0.2490109064163443,2.2204460492503131e-16,-1.4637406954912113e-16,0,0
1201,0.98132299999999995,0.767397,0.14796663563826817,0.24092179096960775,3.0552478407462613e-17,2.5326962749261384e-16,0,0
1202,0.98132299999999995,0.829897,0.14789480919857631,0.25703280050482646,2.3172640327038477e-16,1.9428902930940239e-16,0,0
1203,0.96264700000000003,0.81604500000000002,0.14581498246410032,0.25351617402152987,-3.7561083122928871e-16,7.9797279894933126e-17,0,0
1204,0.98132299999999995,0.861147,0.14786701071445021,0.26499816491393496,-2.0663368748268657e-17,2.0990154059319366e-16,0,0
1205,0.94396999999999998,0.83344200000000002,0.14366651770496633,0.25801191001990553,1.467620106389636e-16,-7.1991024253037494e-17,0,0
1206,0.94396999999999998,0.80219200000000002,0.14376020136162965,0.25001406502323259,3.8063119550766494e-17,-1.4137996329210978e-16,0,0
1207,0.82987299999999997,0.98129200000000005,0.12990657931876989,0.29537943505264475,-9.7341026298464195e-18,-1.8388068845354155e-16,0,0
1208,0.86112299999999997,0.98129200000000005,0.13365309746186532,0.29535292583449363,-9.0917975459434835e-17,-3.5388358909926865e-16,0,0
1209,0.79862299999999997,0.98129200000000005,0.12611756924033773,0.29541013851855252,4.9873299934333204e-17,-4.163336342344337e-17,0,0
