id,x,y,ux,uy,fintx,finty,bcx,bcy
1150,0.63211300000000004,0.24778500000000001,0.20591832231933527,0.14972087582018201,2.0024536499449463e-16,-1.474514954580286e-16,0,0
1151,0.68517300000000003,0.26707799999999998,0.20269319192194299,0.15381826577918328,1.5406512871019018e-16,9.0205620750793969e-17,0,0
1152,0.71170199999999995,0.27672400000000003,0.20144694353323445,0.15612502599146752,-4.1367733891184422e-16,-3.6429192995512949e-16,0,0
1153,0.65864299999999998,0.25743100000000002,0.20417897588266773,0.15168128746546761,-5.7950606119350212e-17,-1.5959455978986625e-16,0,0
1154,0.68893800000000005,0.241728,0.20537393533794707,0.14066819514673698,2.4269865631088017e-16,1.1796119636642288e-16,0,0
1155,0.71923400000000004,0.226025,0.20613277089733811,0.13001268303731159,1.5704668468452532e-16,-7.2858385991025898e-17,0,0
1156,0.13850000000000001,0.223775,0.15924333921719344,0.31964538774824763,1.7694179454963432e-16,8.9858676055598607e-16,0,0
1157,0.11777899999999999,0.21310299999999999,0.15162227079768248,0.33403592472274313,2.8471149049469346e-15,6.0819405067746857e-15,0,0
1158,0.101787,0.230105,0.12657572060000299,0.3483594174208986,-1.3450612151855168e-15,2.2542731570318608e-15,0,0
1159,0.097059199999999998,0.202432,0.14094575327478812,0.35048710546024814,4.5532154435701244e-15,1.2005804336800985e-14,0,0
1160,0.106515,0.25777800000000001,0.11497852334665104,0.34548146739510749,-1.1544584732625651e-15,5.7592819402429996e-16,0,0
1161,0.085795099999999999,0.24710699999999999,0.10170036104482677,0.35819882002922288,-2.1208078695988952e-15,-6.3143934525555778e-16,0,0
1162,0.076339000000000004,0.19176099999999999,0.12580538222932161,0.36875503672271587,1.6345974053477708e-15,1.8093165854438098e-14,0,0
1163,0.59920600000000002,0.60419699999999998,0.15802076572809251,0.29375013561814334,-7.0418931102933513e-17,1.0755285551056204e-16,0,0
1164,0.58282199999999995,0.63247100000000001,0.15319450112487959,0.30346837149626726,-5.9273332769782527e-16,-3.0704605524789486e-16,0,0
1165,0.56913599999999998,0.61177800000000004,0.15310246313861289,0.2986535361160107,-1.6648601984872724e-16,2.1510571102112408e-16,0,0
1166,0.0226308,0.30440899999999999,0.022049009186228777,0.369877311649774,-4.2327252813834093e-16,-2.801090522724925e-15,0,0
1167,0.0226308,0.27226600000000001,0.02597546538481434,0.37800611406593504,-8.0272804191521691e-16,-4.8641646266389671e-15,0,0
1168,0.045261599999999999,0.28381899999999999,0.047814118668032937,0.36917310068964682,-1.5076915410583425e-15,-3.8354736053847205e-15,0,0
1169,0.0226308,0.240124,0.031041498426055237,0.38761135843047495,-1.5312051756741218e-15,-5.9396931817445875e-15,0,0
1170,0.067892400000000006,0.26322800000000002,0.07679037458211406,0.36471674254997177,-1.3588576878303948e-15,-1.8552867575571952e-15,0,0
1171,0.022613600000000001,0.44433600000000001,0.012909515257818241,0.35065887578875726,-5.5511151231257827e-17,-2.9365615841769888e-16,0,0
1172,0.022613600000000001,0.47647899999999999,0.01176020533031164,0.34931821256806916,1.2516605861576796e-17,-9.1636767618474835e-16,0,0
1173,0.022613600000000001,0.41219299999999998,0.01430225788452609,0.3529726450219729,-1.0950441942103595e-16,5.8980598183211441e-17,0,0
1174,0.045227200000000002,0.43510100000000002,0.026277181926725911,0.34931602387005944,-1.3179832659276913e-16,-3.6082248300317588e-16,0,0
1175,0.067840700000000004,0.458009,0.036507905657120227,0.34594826815734908,-4.426772059269897e-16,3.4629417389187012e-16,0,0
1176,0.371639,0.47764400000000001,0.13952193403503593,0.28873776855745664,-5.3261431723350405e-17,2.7755575615628914e-17,0,0
1177,0.35178999999999999,0.44630300000000001,0.142302333974166,0.28486549624175711,-3.857049228617182e-16,-2.2204460492503131e-16,0,0
1178,0.38279999999999997,0.45699499999999998,0.14611307874867427,0.28093881782780478,4.2229674618310398e-17,9.0205620750793969e-17,0,0
1179,0.45432,0.97853000000000001,0.11376536937627608,0.39521557900187593,2.0437888577709562e-16,-2.3939183968479938e-16,0,0
